gene,before_wash,plate,color,position,ratio,source
SPBC16A3.07c,0.008849557522123894,1,blue,B6_,1.513392857142858,protein-coding
SPBC16C6.05,0.42477876106194695,1,blue,B7_,0.042038690476190486,protein-coding
SPBC16E9.15,0.35398230088495575,1,blue,B8_,0.037834821428571454,protein-coding
SPBC1703.08c,0.34513274336283184,1,blue,B9_,0.03880494505494508,protein-coding
SPBC1703.11,0.47345132743362833,1,blue,B10_,0.037716955941255015,protein-coding
SPBC1709.18,0.5663716814159292,1,blue,B11_,0.11823381696428571,protein-coding
SPBC1711.14,0.008849557522123894,1,blue,B12_,1.0089285714285725,protein-coding
SPBC1711.15c,0.5619469026548672,1,blue,C1_,0.02383295838020249,protein-coding
SPBC18E5.14c,0.008849557522123894,1,blue,C2_,1.0089285714285725,protein-coding
SPBC18H10.07,0.2610619469026549,1,blue,C3_,0.08550242130750611,protein-coding
SPBC19F8.01c,0.47345132743362833,1,blue,C4_,0.018858477970627525,protein-coding
SPBC215.04,0.20353982300884954,1,blue,C5_,0.04386645962732925,protein-coding
SPBC21B10.08c,0.43362831858407086,1,blue,C6_,0.020590379008746374,protein-coding
SPBC21C3.11,0.4690265486725664,1,blue,C7_,0.019036388140161745,protein-coding
SPBC21D10.08c,0.4469026548672566,1,blue,C8_,0.019978783592645002,protein-coding
SPBC23E6.05,0.40707964601769914,1,blue,C9_,0.02193322981366462,protein-coding
SPBC23G7.15c,0.008849557522123894,1,blue,C10_,1.0089285714285725,protein-coding
SPBC23G7.16,0.1946902654867257,1,blue,C11_,0.16051136363636367,protein-coding
SPBC24C6.05,0.6017699115044247,1,blue,C12_,0.04451155462184875,protein-coding
SPBC29A10.12,0.579646017699115,1,blue,D1_,0.02310523446019631,protein-coding
SPBC29A3.21,0.0,1,blue,D2_,inf,protein-coding
SPBC29B5.03c,0.47345132743362833,1,blue,D3_,0.009429238985313776,protein-coding
SPBC2D10.16,0.2743362831858407,1,blue,D4_,0.032546082949308795,protein-coding
SPBC2D10.20,0.4955752212389381,1,blue,D5_,0.01801658163265308,protein-coding
SPBC2G2.05,0.39823008849557523,1,blue,D6_,0.022420634920634945,protein-coding
SPBC30D10.09c,0.5221238938053097,1,blue,D7_,0.008550242130750629,protein-coding
SPBC31F10.05,0.00442477876106194,1,blue,D8_,2.017857142857148,protein-coding
SPBC32F12.08c,0.4778761061946903,1,blue,D9_,0.009341931216931242,protein-coding
SPBC32H8.05,0.4690265486725664,1,blue,D10_,0.009518194070080888,protein-coding
SPBC337.09,0.252212389380531,1,blue,D11_,0.01770050125313288,protein-coding
SPBC337.16,0.06637168141592921,1,blue,D12_,0.6726190476190474,protein-coding
SPBC365.06,0.013274336283185834,1,blue,E1_,0.6726190476190488,protein-coding
SPBC3B9.05,0.47345132743362833,1,blue,E2_,0.018858477970627525,protein-coding
SPBC3D6.09,0.4115044247787611,1,blue,E3_,0.01084869431643628,protein-coding
SPBC4B4.06,0.40707964601769914,1,blue,E4_,0.010966614906832328,protein-coding
SPBC4C3.12,0.00442477876106194,1,blue,E5_,2.017857142857148,protein-coding
SPBC56F2.14,0.4955752212389381,1,blue,E6_,0.027024872448979605,protein-coding
SPBC577.02,0.00442477876106194,1,blue,E7_,1.0089285714285756,protein-coding
SPBC577.04,0.4867256637168142,1,blue,E8_,0.0366883116883117,protein-coding
SPBC83.04,0.38495575221238937,1,blue,E9_,0.0,protein-coding
SPBC83.19c,0.4026548672566372,1,blue,E10_,0.01108712715855576,protein-coding
SPBC839.14c,0.4646017699115044,1,blue,E11_,0.009608843537414992,protein-coding
SPBC887.08,0.5132743362831858,1,blue,E12_,0.06088362068965521,protein-coding
SPBC8D2.02c,0.5176991150442477,1,blue,F1_,0.0603632478632479,protein-coding
SPBC947.14c,0.42477876106194695,1,blue,F2_,0.02101934523809526,protein-coding
SPBCPT2R1.02,0.41592920353982304,1,blue,F3_,0.010733282674772065,protein-coding
SPBCPT2R1.08c,0.41592920353982304,1,blue,F4_,0.010733282674772065,protein-coding
SPBP22H7.08,0.09292035398230088,1,blue,F5_,0.04804421768707496,protein-coding
SPBP4H10.08,0.47345132743362833,1,blue,F6_,0.018858477970627525,protein-coding
SPBP4H10.12,0.49115044247787615,1,blue,F7_,0.018178893178893197,protein-coding
SPBP8B7.22,0.00442477876106194,1,blue,F8_,2.017857142857148,protein-coding
SPBP8B7.26,0.4380530973451327,1,blue,F9_,0.01019119769119772,protein-coding
SPBP8B7.31,0.36283185840707965,1,blue,F10_,0.012304006968641147,protein-coding
SPBPB2B2.02,0.42477876106194695,1,blue,F11_,0.02101934523809526,protein-coding
SPBPB7E8.02,0.5486725663716814,1,blue,F12_,0.016273041474654398,protein-coding
SPBPB8B6.04c,0.5353982300884955,1,blue,G1_,0.05836776859504136,protein-coding
SPBPB8B6.05c,0.46017699115044247,1,blue,G2_,0.02910370879120881,protein-coding
SPBPJ4664.02,0.504424778761062,1,blue,G3_,0.017700501253132852,protein-coding
SPCC1183.10,0.3938053097345133,1,blue,G4_,0.022672552166934215,protein-coding
SPCC1223.15c,0.4469026548672566,1,blue,G5_,0.019978783592645002,protein-coding
SPCC1259.04,0.3938053097345133,1,blue,G6_,0.022672552166934215,protein-coding
